Datetime;Monthly;Average daily
2008-06-01;503840;22820
2008-07-01;741100;33170
2008-08-01;733210;39020
2008-09-01;504930;24080
2008-10-01;475950;22700
2008-11-01;525970;25490
2008-12-01;607450;28000
2009-01-01;552510;33990
2009-02-01;485890;25710
2009-03-01;635540;30330
2009-04-01;679850;40900
2009-05-01;1048230;82040
2009-06-01;1410420;84400
2009-07-01;1428530;82380
2009-08-01;1492200;85180
2009-09-01;1201040;77340
2009-10-01;1124320;55160
2009-11-01;1212420;65310
2009-12-01;1390140;72780
2010-01-01;1254250;64810
2010-02-01;1096490;61860
2010-03-01;1629160;86270
2010-04-01;2124590;123810
2010-05-01;2573910;161180
2010-06-01;3029250;194180
2010-07-01;2871150;182620
2010-08-01;2599320;158360
2010-09-01;2056179;119680
2010-10-01;1708460;96940
2010-11-01;2029830;124280
2010-12-01;2006990;119430
2011-01-01;1845180;112150
2011-02-01;1488130;98220
2011-03-01;1976730;107880
2011-04-01;1945440;113610
2011-05-01;2724720;161440
2011-06-01;2776290;187450
2011-07-01;3117240;202070
2011-08-01;2689340;169300
2011-09-01;2208100;134900
2011-10-01;2336950;141870
2011-11-01;2279040;147060
2011-12-01;2072880;117650
2012-01-01;2255230;126670
2012-02-01;2171780;135210
2012-03-01;2583030;158600
2012-04-01;2963150;186500
2012-05-01;3690210;226770
2012-06-01;5758040;394880
2012-07-01;5430070;337100
2012-08-01;5054630;327130
2012-09-01;4119359;290970
2012-10-01;4338790;282110
2012-11-01;4570410;292100
2012-12-01;4486030;294150
2013-01-01;4797030;294460
2013-02-01;4682980;294190
2013-03-01;4841700;291170
2013-04-01;5889030;364590
2013-05-01;6547940;396130
2013-06-01;7258140;455910
2013-07-01;7315730;427550
2013-08-01;7120630;420250
2013-09-01;5531020;364520
2013-10-01;5603510;337160
2013-11-01;5978740;351100
2013-12-01;5125380;298320
2014-01-01;5395670;311650
2014-02-01;4701730;267860
2014-03-01;5636080;323780
2014-04-01;5471790;320620
2014-05-01;5732690;322710
2014-06-01;6671600;421670
2014-07-01;7027030;394600
2014-08-01;6441350;381630
2014-09-01;5094190;304580
2014-10-01;4896140;286890
2014-11-01;5005760;287880
2014-12-01;4817700;268250
2015-01-01;5138170;286710
2015-02-01;4682670;273260
2015-03-01;4916590;256740
2015-04-01;4749790;277440
2015-05-01;5565450;318150
2015-06-01;6554780;410150
2015-07-01;6814990;399530
2015-08-01;5915780;342670
2015-09-01;4947940;304610
2015-10-01;4953280;271730
2015-11-01;4411540;266660
2015-12-01;4465880;267870
2016-01-01;3940900;229130
2016-02-01;3842900;235790
2008-05-01;;
2008-06-01;503840;22820
2008-07-01;741100;33170
2008-08-01;733210;39020
2008-09-01;504930;24080
2008-10-01;475950;22700
2008-11-01;525970;25490
2008-12-01;607450;28000
2009-01-01;552510;33990
2009-02-01;485890;25710
2009-03-01;635540;30330
2009-04-01;679850;40900
2009-05-01;1048230;82040
2009-06-01;1410420;84400
2009-07-01;1428530;82380
2009-08-01;1492200;85180
2009-09-01;1201040;77340
2009-10-01;1124320;55160
2009-11-01;1212420;65310
2009-12-01;1390140;72780
2010-01-01;1254250;64810
2010-02-01;1096490;61860
2010-03-01;1629160;86270
2010-04-01;2124590;123810
2010-05-01;2573910;161180
2010-06-01;3029250;194180
2010-07-01;2871150;182620
2010-08-01;2599320;158360
2010-09-01;2056179;119680
2010-10-01;1708460;96940
2010-11-01;2029830;124280
2010-12-01;2006990;119430
2011-01-01;1845180;112150
2011-02-01;1488130;98220
2011-03-01;1976730;107880
2011-04-01;1945440;113610
2011-05-01;2724720;161440
2011-06-01;2776290;187450
2011-07-01;3117240;202070
2011-08-01;2689340;169300
2011-09-01;2208100;134900
2011-10-01;2336950;141870
2011-11-01;2279040;147060
2011-12-01;2072880;117650
2012-01-01;2255230;126670
2012-02-01;2171780;135210
2012-03-01;2583030;158600
2012-04-01;2963150;186500
2012-05-01;3690210;226770
2012-06-01;5758040;394880
2012-07-01;5430070;337100
2012-08-01;5054630;327130
2012-09-01;4119359;290970
2012-10-01;4338790;282110
2012-11-01;4570410;292100
2012-12-01;4486030;294150
2013-01-01;4797030;294460
2013-02-01;4682980;294190
2013-03-01;4841700;291170
2013-04-01;5889030;364590
2013-05-01;6547940;396130
2013-06-01;7258140;455910
2013-07-01;7315730;427550
2013-08-01;7120630;420250
2013-09-01;5531020;364520
2013-10-01;5603510;337160
2013-11-01;5978740;351100
2013-12-01;5125380;298320
2014-01-01;5395670;311650
2014-02-01;4701730;267860
2014-03-01;5636080;323780
2014-04-01;5471790;320620
2014-05-01;5732690;322710
2014-06-01;6671600;421670
2014-07-01;7027030;394600
2014-08-01;6441350;381630
2014-09-01;5094190;304580
2014-10-01;4896140;286890
2014-11-01;5005760;287880
2014-12-01;4817700;268250
2015-01-01;5138170;286710
2015-02-01;4682670;273260
2015-03-01;4916590;256740
2015-04-01;4749790;277440
2015-05-01;5565450;318150
2015-06-01;6554780;410150
2015-07-01;6814990;399530
2015-08-01;5915780;342670
2015-09-01;4947940;304610
2015-10-01;4953280;271730
2015-11-01;4411540;266660
2015-12-01;4465880;267870
2016-01-01;3940900;229130
2016-02-01;3842900;235790
